"","race","period","sex","age","foi_mean","foi_cri_lb","foi_cri_ub"
"716","Non-Hispanic Black",1992,"Male",8,0.0343438160638407,0.0276208366772528,0.0437835346205743
"717","Non-Hispanic Black",1992,"Male",9,0.0336604213603066,0.0270768776085111,0.042901080892711
"718","Non-Hispanic Black",1992,"Male",10,0.0329682599896527,0.0265252087505401,0.041998916151751
"719","Non-Hispanic Black",1992,"Male",11,0.0322681919567366,0.0259702402454319,0.0410782624072476
"720","Non-Hispanic Black",1992,"Male",12,0.0315611199249829,0.0254081816073395,0.0401404686795634
"721","Non-Hispanic Black",1992,"Male",13,0.0308479848843681,0.0248524047048238,0.0391870053840429
"722","Non-Hispanic Black",1992,"Male",14,0.0301297613775388,0.0242817273262775,0.0382162504980543
"723","Non-Hispanic Black",1992,"Male",15,0.0294074523311674,0.0237212182671444,0.0372322973430142
"724","Non-Hispanic Black",1992,"Male",16,0.0286820835475102,0.0231606605846353,0.0362207828056152
"725","Non-Hispanic Black",1992,"Male",17,0.0279546979181162,0.0226006823094532,0.0352104353574487
"726","Non-Hispanic Black",1992,"Male",18,0.0272263494274935,0.0220419088785976,0.034198075553002
"727","Non-Hispanic Black",1992,"Male",19,0.0264980970191057,0.0214811163330174,0.0332102822111982
"728","Non-Hispanic Black",1992,"Male",20,0.0257709983991804,0.0209086611711601,0.0321931799105678
"729","Non-Hispanic Black",1992,"Male",21,0.0250461038553545,0.020348195845775,0.0312044142226606
"730","Non-Hispanic Black",1992,"Male",22,0.0243244501670885,0.0198011648659793,0.0301938858271891
"731","Non-Hispanic Black",1992,"Male",23,0.023607054683052,0.0192546195767584,0.0291936812832926
"732","Non-Hispanic Black",1992,"Male",24,0.0228949096373388,0.0186849346475934,0.02818129292346
"733","Non-Hispanic Black",1992,"Male",25,0.0221889767715288,0.0180963863183775,0.0272434051432824
"734","Non-Hispanic Black",1992,"Male",26,0.021490182323397,0.0174495072218331,0.0263111264207275
"735","Non-Hispanic Black",1992,"Male",27,0.0207994124356847,0.0167254537493297,0.0253894635778599
"736","Non-Hispanic Black",1992,"Male",28,0.0201175090300017,0.0160198329606278,0.0244476591758687
"737","Non-Hispanic Black",1992,"Male",29,0.0194452661818855,0.0153333037975794,0.023571610309881
"738","Non-Hispanic Black",1992,"Male",30,0.0187834270235604,0.0146671277712417,0.022721421064057
"739","Non-Hispanic Black",1992,"Male",31,0.0181326811912881,0.0140409972590301,0.021910182193072
"740","Non-Hispanic Black",1992,"Male",32,0.0174936628246527,0.0134319282829049,0.0211969374427261
"741","Non-Hispanic Black",1992,"Male",33,0.0168669491159105,0.0128304746725892,0.0205427525020999
"742","Non-Hispanic Black",1992,"Male",34,0.0162530593988944,0.0122429853610449,0.0199181072386924
"743","Non-Hispanic Black",1992,"Male",35,0.0156524547590712,0.0116913046074637,0.0193173149989653
"744","Non-Hispanic Black",1992,"Male",36,0.0150655381393624,0.0111584305759879,0.0187421346673348
"745","Non-Hispanic Black",1992,"Male",37,0.0144926549103713,0.0106441872473286,0.0181785883120375
"746","Non-Hispanic Black",1992,"Male",38,0.013934093868764,0.010144730837708,0.0176330146717663
"747","Non-Hispanic Black",1992,"Male",39,0.0133900886237792,0.00965812905211203,0.0171176209398478
"748","Non-Hispanic Black",1992,"Male",40,0.0128608193291662,0.00919631662470704,0.0166118576866472
"749","Non-Hispanic Black",1992,"Male",41,0.0123464147162371,0.00873480580642673,0.0161089302612939
"750","Non-Hispanic Black",1992,"Male",42,0.0118469543831054,0.00829243048325687,0.0156227024847949
"751","Non-Hispanic Black",1992,"Male",43,0.0113624712954666,0.00788261623362459,0.0151606708166412
"752","Non-Hispanic Black",1992,"Male",44,0.0108929544553643,0.00748965248556286,0.0147088573994814
"753","Non-Hispanic Black",1992,"Male",45,0.0104383516961465,0.00709979120808629,0.0142657024674823
"754","Non-Hispanic Black",1992,"Male",46,0.00999857256415171,0.00673458990092936,0.0138306819582743
"755","Non-Hispanic Black",1992,"Male",47,0.00957349125042531,0.00639294521904498,0.0134031450223648
"756","Non-Hispanic Black",1992,"Male",48,0.00916294953886591,0.00606892735750216,0.0129833220222306
"757","Non-Hispanic Black",1992,"Male",49,0.00876675974050568,0.00575092199021199,0.0125712981137368
"758","Non-Hispanic Black",1992,"Male",50,0.00838470758705586,0.00544751330987698,0.0121669620244673
"759","Non-Hispanic Black",1992,"Male",51,0.00801655506030137,0.00515858413627112,0.0117722031407043
"760","Non-Hispanic Black",1992,"Male",52,0.0076620431373358,0.00488360246220624,0.0113903283593358
"761","Non-Hispanic Black",1992,"Male",53,0.0073208944349254,0.0046168749541948,0.0110058101830279
